"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
2;"R4,R2";"R_0805_2012Metric";2;"R_0805_4.7K";;;
3;"C3,C4,C14,C1,C12,C5";"C_0805_2012Metric";6;"C_0805_0.1uf";;;
4;"C2,C11,C8,C13";"C_0805_2012Metric";4;"C_0805_1uf";;;
5;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
6;"TP14,TP36,TP15,TP21,TP20,TP10,TP8,TP2,TP6,TP24,TP34,TP5,TP25,TP33";"TestPoint_THTPad_D2.0mm_Drill1.0mm";14;"TestPoint";;;
7;"U4";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
8;"SW4,SW1,SW2,SW3";"SW_SPST_Omron_B3FS-100xP";4;"Omron_B3F_SPST";;;
9;"R11";"R_0805_2012Metric";1;"R_0805_2.2K";;;
10;"U3";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
11;"C6";"C_0805_2012Metric";1;"C_0805_10uf";;;
12;"Y2";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
13;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal_16MHz";;;
14;"R10,R7,R3,R6";"R_0805_2012Metric";4;"R_0805_10K";;;
15;"D1";"LED_0805_2012Metric";1;"LED_0805";;;
16;"J1";"Wurth-694106402002";1;"Power_inlet_vertical";;;
17;"C10,C9";"C_0805_2012Metric";2;"C_0805_22pf";;;
18;"U2";"TO-252-2";1;"L7805";;;
19;"R1";"R_0805_2012Metric";1;"R_0805_22K";;;
20;"R8,R9";"R_0805_2012Metric";2;"R_0805_47";;;
21;"DS1";"Adafruit-1001-0-0-MFG";1;"LED_Display_1001";;;
22;"U1";"DIP-24_W7.62mm";1;"MAX7219";;;
23;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
24;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
